Date,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,Total,Diff
2020-02-01,297,168,247,144,40,535,100,29,62,96,80,422,13,7153,389,23,202,286,17,64,7,26,9,101,206,169,47,207,41,1,18,93,599,11891,2089
2020-02-02,340,191,300,159,51,632,111,38,64,104,95,493,15,11177,463,27,236,333,23,70,8,28,11,116,230,182,66,231,48,1,21,105,661,16630,4739
2020-02-03,408,212,337,179,55,725,127,46,72,113,121,566,15,13522,521,34,271,391,31,74,8,31,13,128,259,203,74,254,60,1,24,117,724,19716,3086
2020-02-04,480,228,366,194,57,813,139,58,80,126,155,675,17,16678,593,35,308,476,42,81,10,34,15,142,275,219,81,282,67,1,29,122,829,23707,3991
2020-02-05,530,253,389,205,62,895,150,64,99,135,190,764,21,19665,661,42,341,548,54,89,10,34,17,165,307,243,81,301,69,1,32,128,895,27440,3733
2020-02-06,591,274,411,215,62,970,168,71,106,157,227,851,24,22112,711,46,373,600,59,94,10,40,18,173,347,257,96,321,79,1,36,133,954,30587,3147
2020-02-07,665,297,426,224,67,1034,172,81,117,172,277,914,25,24953,772,50,408,661,65,99,10,43,18,184,386,277,104,344,81,1,39,138,1006,34110,3523
2020-02-08,733,315,428,239,79,1095,183,89,124,195,295,981,26,27100,803,52,439,698,69,105,10,45,18,195,416,286,115,364,88,1,42,138,1048,36814,2704
2020-02-09,779,326,468,250,83,1131,195,99,131,206,307,1033,29,29631,838,54,468,740,78,107,10,45,18,208,444,293,119,386,91,1,45,141,1075,39829,3015
2020-02-10,830,337,486,261,83,1159,210,109,138,218,331,1073,38,31728,879,58,492,771,80,108,10,49,18,213,466,299,119,405,95,1,49,149,1092,42354,2525
2020-02-11,860,342,505,267,86,1177,215,127,144,239,360,1105,49,33366,912,58,515,804,81,111,10,53,18,219,487,303,124,417,106,1,55,153,1117,44386,2032
2020-02-12,889,352,518,272,87,1219,222,133,157,251,378,1135,50,33366,946,60,543,844,83,116,10,58,18,225,497,311,126,436,112,1,59,154,1131,44759,373
2020-02-13,910,366,529,279,90,1241,222,135,157,265,395,1169,53,48206,968,61,570,872,84,117,10,64,18,229,509,315,126,451,119,1,63,156,1145,59895,15136
2020-02-14,934,372,537,281,90,1261,226,140,159,283,419,1184,56,54406,988,65,593,900,86,119,10,67,18,230,523,318,127,463,120,1,65,162,1155,66358,6463
2020-02-15,950,375,544,285,90,1294,235,143,162,291,425,1212,56,56249,1001,68,604,913,88,119,10,70,18,232,532,326,128,470,122,1,70,168,1162,68413,2055
2020-02-16,962,380,551,287,90,1316,237,144,162,300,445,1231,57,58182,1004,70,617,925,89,121,10,70,18,236,537,328,129,481,124,1,71,171,1167,70513,2100
2020-02-17,973,381,553,290,91,1322,238,146,163,301,457,1246,60,59989,1006,72,626,930,89,121,10,70,18,240,541,333,130,495,125,1,75,171,1171,72434,1921
2020-02-18,982,387,555,292,91,1328,242,146,163,306,464,1257,62,61682,1007,73,629,933,89,121,10,70,18,240,543,333,131,508,128,1,76,172,1172,74211,1777
2020-02-19,986,393,560,293,91,1331,244,146,168,306,470,1262,63,62031,1008,75,631,934,90,121,10,71,18,242,544,333,131,514,130,1,76,172,1174,74619,408
2020-02-20,987,395,567,293,91,1332,245,146,168,307,476,1265,68,62442,1010,75,631,934,91,121,10,71,18,245,546,334,132,520,131,1,76,174,1175,75077,458
2020-02-21,988,396,572,293,91,1333,246,146,168,308,479,1267,68,62662,1011,75,631,934,91,121,10,71,18,245,749,334,132,525,132,1,76,174,1203,75550,473
2020-02-22,989,399,573,293,91,1339,249,146,168,309,479,1270,69,64084,1013,75,631,934,91,121,10,71,18,245,750,335,132,526,135,1,76,174,1205,77001,1451
2020-02-23,989,399,575,293,91,1342,249,146,168,311,480,1271,74,64084,1016,75,631,934,91,121,10,71,18,245,754,335,132,526,135,1,76,174,1205,77022,21
2020-02-24,989,399,576,293,91,1345,251,146,168,311,480,1271,79,64287,1016,75,631,934,93,121,10,71,18,245,755,335,133,527,135,1,76,174,1205,77241,219
2020-02-25,989,400,576,294,91,1347,252,146,168,311,480,1271,84,64786,1016,75,631,934,93,121,10,71,18,245,756,336,133,529,135,1,76,174,1205,77754,513
2020-02-26,989,400,576,294,91,1347,252,146,168,312,480,1271,91,65187,1016,75,631,934,93,121,10,71,18,245,756,337,133,531,135,1,76,174,1205,78166,412
2020-02-27,989,410,576,296,91,1347,252,146,168,317,480,1272,92,65596,1017,75,631,934,93,121,10,72,18,245,756,337,133,534,136,1,76,174,1205,78600,434
2020-02-28,990,410,576,296,91,1348,252,146,168,318,480,1272,94,65914,1017,75,631,935,93,121,10,72,18,245,756,337,133,538,136,1,76,174,1205,78928,328
2020-02-29,990,411,576,296,91,1349,252,146,168,318,480,1272,95,66337,1018,75,631,935,93,121,10,73,18,245,756,337,133,538,136,1,76,174,1205,79356,428
2020-03-01,990,413,576,296,91,1349,252,146,168,318,480,1272,96,66907,1018,75,631,935,93,122,10,73,18,245,758,337,133,538,136,1,76,174,1205,79932,576
2020-03-02,990,414,576,296,91,1350,252,146,168,318,480,1272,100,67103,1018,75,631,935,93,122,10,74,18,245,758,337,133,538,136,1,76,174,1206,80136,204
2020-03-03,990,414,576,296,91,1350,252,146,168,318,480,1272,100,67217,1018,75,631,935,93,125,10,74,18,245,758,338,133,538,136,1,76,174,1213,80261,125
2020-03-04,990,418,576,296,91,1350,252,146,168,318,480,1272,105,67332,1018,75,631,935,93,125,10,75,18,245,758,338,133,538,136,1,76,174,1213,80386,125
2020-03-05,990,418,576,296,102,1351,252,146,168,318,481,1272,105,67466,1018,75,631,935,93,125,10,75,18,245,758,339,133,539,136,1,76,174,1215,80537,151
2020-03-06,990,422,576,296,119,1352,252,146,168,318,481,1272,107,67592,1018,75,631,935,93,125,10,75,18,245,758,342,133,539,136,1,76,174,1215,80690,153
2020-03-07,990,426,576,296,120,1352,252,146,168,318,481,1272,108,67666,1018,75,631,935,93,125,10,75,18,245,758,342,133,539,136,1,76,174,1215,80770,80
2020-03-08,990,428,576,296,124,1352,252,146,168,318,481,1272,114,67707,1018,75,631,935,93,125,10,75,18,245,758,342,133,539,136,1,76,174,1215,80823,53
2020-03-09,990,428,576,296,124,1352,252,146,168,318,481,1272,115,67743,1018,75,631,935,93,125,10,75,18,245,758,342,133,539,136,1,76,174,1215,80860,37
2020-03-10,990,429,576,296,125,1353,252,146,168,318,481,1272,120,67760,1018,75,631,935,93,125,10,75,18,245,758,344,133,539,136,1,76,174,1215,80887,27
2020-03-11,990,435,576,296,127,1356,252,146,168,318,482,1273,126,67773,1018,75,631,935,93,125,10,75,18,245,760,344,133,539,136,1,76,174,1215,80921,34
2020-03-12,990,435,576,296,127,1356,252,146,168,318,482,1273,129,67781,1018,75,631,935,93,125,10,75,18,245,760,344,133,539,136,1,76,174,1215,80932,11
2020-03-13,990,436,576,296,127,1356,252,146,168,318,482,1273,134,67786,1018,75,631,935,93,125,10,75,18,245,760,346,133,539,136,1,76,174,1215,80945,13
2020-03-14,990,437,576,296,129,1356,252,146,168,318,482,1273,140,67790,1018,75,631,935,93,125,10,75,18,245,760,353,133,539,136,1,76,174,1227,80977,32
2020-03-15,990,442,576,296,133,1360,252,146,168,318,482,1273,145,67794,1018,75,631,935,93,125,10,75,18,245,760,353,133,539,136,1,76,174,1231,81003,26
2020-03-16,990,452,576,296,133,1361,252,146,168,318,482,1273,155,67798,1018,75,631,935,93,125,11,75,18,245,760,355,133,539,136,1,76,176,1231,81033,30
2020-03-17,990,456,576,296,133,1364,253,147,168,318,482,1273,162,67799,1018,75,631,935,93,125,12,75,18,246,761,358,133,540,136,1,76,176,1232,81058,25
2020-03-18,990,469,576,296,133,1370,253,146,168,318,482,1273,181,67800,1018,75,631,935,93,125,15,75,18,246,761,361,133,540,136,1,76,176,1232,81102,44
2020-03-19,990,480,576,296,134,1378,253,146,168,318,483,1273,208,67800,1018,75,631,935,93,125,17,75,18,246,761,363,133,540,137,1,76,176,1233,81156,54
2020-03-20,990,491,576,299,134,1395,254,146,168,318,484,1273,256,67800,1018,75,631,935,93,126,17,75,18,247,762,371,133,541,137,1,76,176,1234,81250,94
2020-03-21,990,504,576,303,134,1400,254,146,168,318,484,1273,273,67800,1018,75,631,935,93,126,18,75,18,248,764,380,133,542,137,1,76,176,1236,81305,55
2020-03-22,990,522,577,313,136,1413,254,146,168,319,484,1274,317,67800,1018,75,633,936,93,127,24,75,18,248,767,404,133,543,137,1,76,176,1238,81435,130
2020-03-23,990,537,578,313,136,1415,254,146,168,319,484,1274,356,67800,1018,75,633,936,93,127,24,75,18,248,768,404,134,543,141,1,76,176,1238,81498,63
2020-03-24,990,558,578,318,136,1428,254,146,168,319,484,1274,386,67801,1018,75,636,936,93,127,25,75,18,249,768,414,134,545,145,1,76,176,1240,81591,93
2020-03-25,990,561,578,322,136,1433,254,146,168,319,484,1274,410,67801,1018,77,638,936,94,127,30,75,18,250,769,433,134,547,145,1,76,176,1241,81661,70
2020-03-26,990,566,578,328,136,1448,254,146,168,319,484,1275,453,67801,1018,89,640,936,95,128,31,75,18,253,771,451,135,547,151,1,76,178,1243,81782,121
2020-03-27,990,569,578,331,136,1456,254,146,168,319,484,1275,519,67801,1018,92,641,936,95,128,33,75,18,253,772,468,135,548,155,1,76,180,1247,81897,115
2020-03-28,990,573,578,337,136,1467,254,146,168,319,484,1275,561,67801,1018,94,641,936,97,132,37,75,18,253,772,485,135,548,161,1,76,180,1251,81999,102
2020-03-29,990,577,579,338,138,1475,254,146,168,319,484,1276,641,67801,1018,95,644,937,98,134,37,75,18,253,772,492,136,550,166,1,76,180,1254,82122,123
2020-03-30,990,577,579,340,138,1484,254,146,168,321,484,1276,682,67801,1018,97,645,937,98,136,38,75,18,253,773,498,136,550,174,1,76,180,1255,82198,76
2020-03-31,990,580,579,343,138,1494,254,146,168,321,484,1276,714,67801,1018,107,646,937,98,139,41,75,18,253,774,509,136,550,174,1,76,182,1257,82279,81
2020-04-01,990,580,579,345,138,1501,254,146,168,323,484,1276,765,67802,1018,111,646,937,98,140,41,75,18,255,774,516,137,552,176,1,76,182,1257,82361,82
2020-04-02,990,582,579,345,138,1507,254,146,168,325,488,1276,802,67802,1019,117,647,937,98,141,41,75,18,255,775,522,137,554,176,1,76,183,1258,82432,71
2020-04-03,990,584,579,349,138,1514,254,146,168,326,489,1276,845,67802,1019,117,651,937,98,141,43,75,18,255,778,526,137,555,180,1,76,184,1260,82511,79
2020-04-04,990,585,579,350,138,1516,254,146,168,326,491,1276,862,67803,1019,117,651,937,98,141,43,75,18,256,778,529,137,557,180,1,76,184,1262,82543,32
2020-04-05,990,586,579,350,138,1524,254,146,168,327,504,1276,890,67803,1019,117,651,937,98,142,44,75,18,256,779,531,138,558,180,1,76,184,1263,82602,59
2020-04-06,990,587,579,350,139,1532,254,146,168,327,524,1276,914,67803,1019,118,651,937,98,142,44,75,18,256,780,536,138,559,180,1,76,184,1264,82665,63
2020-04-07,990,587,579,351,139,1533,254,146,168,327,544,1276,935,67803,1019,121,651,937,98,144,44,75,18,256,781,538,138,560,180,1,76,184,1265,82718,53
2020-04-08,990,588,579,351,139,1536,254,146,168,327,569,1276,960,67803,1019,124,651,937,98,144,45,75,18,256,783,543,163,560,180,1,76,184,1266,82809,91
2020-04-09,991,588,579,351,139,1539,254,146,168,327,609,1276,973,67803,1019,126,651,937,98,144,45,75,18,256,783,552,166,560,182,1,76,184,1267,82883,74
2020-04-10,991,588,579,351,139,1544,254,146,168,327,638,1276,989,67803,1019,128,651,937,98,144,45,75,18,256,783,555,168,560,183,1,76,184,1267,82941,58
2020-04-11,991,589,579,351,139,1548,254,146,168,327,661,1276,1000,67803,1019,155,652,937,98,145,45,75,18,256,784,555,172,560,183,1,76,184,1267,83014,73
2020-04-12,991,589,579,352,139,1552,254,146,168,327,684,1276,1004,67803,1019,189,653,937,99,145,45,75,18,256,784,607,172,560,183,1,76,184,1267,83134,120
2020-04-13,991,589,579,352,139,1555,254,146,168,327,740,1276,1009,67803,1019,190,653,937,100,145,45,75,18,256,784,618,173,560,184,1,76,184,1267,83213,79
2020-04-14,991,589,579,353,139,1564,254,146,168,327,819,1276,1012,67803,1019,190,653,937,100,145,45,75,18,256,784,618,173,560,185,1,76,184,1267,83306,93
2020-04-15,991,590,579,353,139,1566,254,146,168,327,841,1276,1017,67803,1019,190,653,937,102,145,45,75,18,256,784,622,186,560,185,1,76,184,1268,83356,50
2020-04-16,991,593,579,353,139,1571,254,146,168,328,861,1276,1017,67803,1019,193,653,937,102,145,45,75,18,256,784,628,194,560,186,1,76,184,1268,83403,47
2020-04-17,991,593,579,354,139,1577,254,146,168,328,872,1276,1021,68128,1019,193,653,937,102,146,45,75,18,256,787,628,197,560,189,1,76,184,1268,83760,357
2020-04-18,991,593,579,355,139,1579,254,146,168,328,892,1276,1024,68128,1019,193,653,937,102,146,45,75,18,256,787,628,197,561,189,1,76,184,1268,83787,27
2020-04-19,991,593,579,355,139,1580,254,147,168,328,898,1276,1025,68128,1019,193,653,937,104,146,45,75,18,256,787,635,197,561,189,1,76,184,1268,83805,18
2020-04-20,991,593,579,355,139,1581,254,147,168,328,905,1276,1025,68128,1019,194,653,937,104,146,45,75,18,256,787,638,197,561,189,1,76,184,1268,83817,12
2020-04-21,991,593,579,355,139,1582,254,147,168,328,913,1276,1029,68128,1019,194,653,937,106,146,45,75,18,277,787,638,197,561,189,1,76,184,1268,83853,36
